;BNP Realveakst i forhold til foregaende periode(pct).;Betalingsbalance i mia.kr(sesonkorrigeret);Bruttoledige Sesonkorrigeret i pct. af arbejdsstyrken + FRED Unemployment rate i DK ;AKU beskeftigelse i 1000 personer  ;Aktieindex  (OMXC ultimo december 1995 = 100);Sammensat konjunkturindikator, i alt, brudkorrigeret;Forbrugertillidsindikatoren;Prisindex for ejendomssalg;Inflation;Imdustrial produktion Index ;Offentlig forbrug ;Privat forbrug ;Sesonkorrigeret detailomsetningverdiindeks;Long-Term Government Bond Yields: 10-year;Diskkontoen;Import;Export;TOT Erhverv i alt;2 Industri, rastofindvinding og forsyningsvirksomhed;3 Bygge og anleg;4 Handel og transport mv.;5 Information og kommunikation;6 Finansiering og forsikring;7 Ejendomshandel og udlejning;8 Erhvervsservice;O3 Undervisning og sundhed mv.;10 Kultur, fritid og anden service
12.2012;-0,2;9,1;6;2643;404;-10;-4,7;-1,2;-0,4;0,4;1,3;0,4;100;1,070000;0,2771;46308,8;51185,5;1,4;1,8;0,5;1,2;1,4;2,2;1,1;1,7;0,4;1,1
01.2013;0,6;12,4;5,9;2636;433;-5;-2,7;0,4;-0,5;-0,1;-2,7;0,4;98,7;1,610000;0,3051;45588,7;52390;0;0;0;0;0;0;0;0;0;0
02.2013;0,6;12;5,9;2637;443;-6;-2;1,7;1,1;0,6;-2,7;0,4;99,4;1,730000;0,3285;44598;50413,7;0;0;0;0;0;0;0;0;0;0
03.2013;0,6;10,6;5,9;2645;440;-4;-2,1;0,6;0,2;0,4;-2,7;0,4;98,1;1,590000;0,2743;45441,5;50740;1,3;1,5;0,5;1;1,5;2,1;1,1;1,5;0,6;1,3
04.2013;0,1;10,4;6;2635;440;-13;-2,8;0,7;-0,2;-0,2;0,7;0,0;98,2;1,420000;0,2600;45285,5;51508,3;0;0;0;0;0;0;0;0;0;0
05.2013;0,1;12,6;5,8;2634;442;-14;-2,6;0,1;0,2;0,1;0,7;0,0;99,1;1,450000;0,2403;44880,2;51459,4;0;0;0;0;0;0;0;0;0;0
06.2013;0,1;14,2;5,8;2635;424;-6;3,4;1,5;-0,2;0,2;0,7;0,0;99,5;1,720000;0,2582;44200,2;50118,4;1,3;1,7;0,5;1,1;2,1;1,9;1;1,1;0,5;0,9
07.2013;0,6;11,8;5,7;2640;452;-11;3,7;-1,1;-0,3;-0,4;0,6;0,3;98,8;1,770000;0,2684;46182,7;52082,6;0;0;0;0;0;0;0;0;0;0
08.2013;0,6;12,4;5,7;2647;458;-10;5,9;0,2;0,1;0,7;0,6;0,3;98,7;1,940000;0,2681;47563,7;51953,2;0;0;0;0;0;0;0;0;0;0
09.2013;0,6;13,9;5,6;2646;474;-2;4,7;-1,4;0,3;0,5;0,6;0,3;98,6;2,100000;0,2711;46363,5;52730,6;1,1;1,8;0,4;0,7;1,9;1,5;0,9;1,1;1,3;0,3
10.2013;0,2;17,5;5,6;2634;486;-2;4,6;2,7;0,2;-0,2;1,1;0,4;97,5;1,930000;0,2730;44064,5;53868;0;0;0;0;0;0;0;0;0;0
11.2013;0,2;11,2;5,6;2635;504;0;4;-2,7;-0,3;0,3;1,1;0,4;97,9;1,800000;0,2536;45766;51867,3;0;0;0;0;0;0;0;0;0;0
12.2013;0,2;11,3;5,6;2626;517;-7;2,9;0,3;-0,1;0,3;1,1;0,4;98,5;1,890000;0,2585;47373,8;51704,7;1,2;1,5;0,8;0,8;1,7;1;0,6;1,5;1,2;0,6
01.2014;0,3;15,4;5,2;2634;540;3;6,3;1,4;-0,2;-0,4;-0,1;0,0;98;1,860000;0,2800;45218,8;51545,9;0;0;0;0;0;0;0;0;0;0
02.2014;0,3;13,6;5,2;2629;595;-2;4,2;0,5;0,6;0,8;-0,1;0,0;99,2;1,670000;0,2700;47015,9;53086,8;0;0;0;0;0;0;0;0;0;0
03.2014;0,3;11,8;5,1;2644;583;4;5;-0,3;0,1;1,0;-0,1;0,0;98,9;1,610000;0,2900;43643,7;49564;1,1;1,5;0,4;0,8;1,4;1,1;1,2;1,7;0,8;0,8
04.2014;-0,1;12,5;5,1;2650;583;0;5,5;2,9;0,1;0,0;-0,2;0,8;98,4;1,570000;0,3100;47836,2;51809,7;0;0;0;0;0;0;0;0;0;0
05.2014;-0,1;14;5;2656;601;-7;7,8;0,4;0;0,4;-0,2;0,8;100,2;1,470000;0,3500;45940,2;52009,3;0;0;0;0;0;0;0;0;0;0
06.2014;-0,1;12,6;5;2660;610;-15;9,3;-0,5;-0,1;0,4;-0,2;0,8;98,5;1,380000;0,3600;47300,2;52163,4;1,3;1,3;1,3;0,9;1,1;1,3;0,8;2,6;1;0,8
07.2014;1,7;16,1;5;2670;605;-18;10,6;-1,3;-0,2;0,2;1,4;0,5;98,6;1,240000;0,3800;48241,1;52839;0;0;0;0;0;0;0;0;0;0
08.2014;1,7;17,8;4,9;2678;608;-6;11,4;1,7;-0,1;-0,1;1,4;0,5;99,4;1,070000;0,3700;44344,7;51152,5;0;0;0;0;0;0;0;0;0;0
09.2014;1,7;15,1;4,9;2689;623;-8;7,1;0,4;0,3;0,3;1,4;0,5;98,2;0,960000;0,2800;47447,7;51749,1;1,4;1,2;1,9;1,3;0,9;1,6;2,3;2,7;0,4;0,7
10.2014;0,4;15,6;4,9;2683;618;-15;8,2;-1,4;0,1;0,0;0,2;0,8;98,9;1,130000;0,3000;47280,3;53474,2;0;0;0;0;0;0;0;0;0;0
11.2014;0,4;16,9;4,8;2699;618;-15;6,3;1,6;-0,2;0,8;0,2;0,8;99,4;1,030000;0,3000;46445,6;51065,2;0;0;0;0;0;0;0;0;0;0
12.2014;0,4;18,6;4,8;2705;608;-19;6;-1;-0,3;-0,1;0,2;0,8;99;0,930000;0,3000;45725,5;52150,5;1,5;1,1;1,5;1,3;1;1,8;2,3;2,5;0,8;1,3
01.2015;0,7;14;4,7;2698;656;-15;9;1;-0,6;-0,5;0,8;0,0;99,4;0,630000;0,1800;47674,9;52861,9;0;0;0;0;0;0;0;0;0;0
02.2015;0,7;17,9;4,7;2698;713;-13;9,1;2;0,8;-0,5;0,8;0,0;99,6;0,200000;-0,3300;46841,5;54216,4;0;0;0;0;0;0;0;0;0;0
03.2015;0,7;19;4,7;2698;752;-16;13,9;1,9;0,5;-0,3;0,8;0,0;101,1;0,300000;-0,1900;47860;55985;1,4;1,3;1,8;1;1,3;1,7;1,7;2,4;0,6;0,5
04.2015;0,5;12,7;4,7;2707;755;-11;13,7;0,9;0,2;-0,6;-0,3;1,0;99,6;0,250000;-0,1900;47201,3;54989,5;0;0;0;0;0;0;0;0;0;0
05.2015;0,5;16,4;4,7;2707;768;-6;13;1;0;-0,4;-0,3;1,0;98,1;0,730000;-0,1800;47890,1;54391,1;0;0;0;0;0;0;0;0;0;0
06.2015;0,5;11,1;4,6;2710;737;-8;9,8;-0,8;-0,1;-0,3;-0,3;1,0;99,6;1,000000;-0,2000;50242,4;52576,7;1,5;1,9;2,7;0,9;1,3;2,2;3,1;1,7;0,6;0,6
07.2015;0,3;11,7;4,5;2711;781;-12;9,5;-0,2;-0,1;0,6;0,6;1,3;100,8;0,940000;-0,1600;47590,8;51178,5;0;0;0;0;0;0;0;0;0;0
08.2015;0,3;17;4,5;2711;740;-6;9,2;0,7;-0,3;-0,2;0,6;1,3;100,3;0,840000;-0,0700;47963,4;52545,2;0;0;0;0;0;0;0;0;0;0
09.2015;0,3;14,3;4,4;2716;721;-5;5;-0,8;0,3;-0,4;0,6;1,3;100;0,930000;-0,0100;47450,5;52479;1,5;1,9;1,4;0,9;2;2,3;2,4;2;1,4;0,2
10.2015;0,2;12,7;4,4;2710;730;-5;3;1;-0,1;-0,4;-0,3;0,5;100,9;0,830000;-0,0700;47765,5;51486,3;0;0;0;0;0;0;0;0;0;0
11.2015;0,2;12,2;4,3;2728;791;-7;5,6;-0,4;-0,2;-0,7;-0,3;0,5;100,1;0,810000;-0,1400;46926,9;53170,8;0;0;0;0;0;0;0;0;0;0
12.2015;0,2;12,7;4,3;2748;786;-8;6,1;-0,9;-0,1;-0,6;-0,3;0,5;100,7;0,830000;-0,1300;47171,9;51895,3;1,5;1,9;1,8;1;1,8;2,3;2,3;1,7;1,6;0,1
01.2016;1,2;14,1;4,2;2742;754;-6;4,6;1,4;-0,5;0,8;0,5;0,3;100,9;0,790000;-0,0600;45952,5;51362;0;0;0;0;0;0;0;0;0;0
02.2016;1,2;13,4;4,2;2734;739;-8;4;0,8;0,5;-0,7;0,5;0,3;99,9;0,550000;-0,0800;46573,8;50488,9;0;0;0;0;0;0;0;0;0;0
03.2016;1,2;12,8;4,2;2730;737;-5;3,6;0,9;0,1;-0,8;0,5;0,3;98,2;0,510000;-0,1300;45971,2;53098,8;1,8;2,2;2,1;1,4;1,5;2,5;2,7;1,7;2,1;1,2
04.2016;1,4;11;4,1;2754;743;-6;5,5;0,3;0,2;0,1;1,2;0,9;101,2;0,400000;-0,0900;45432,5;53074;0;0;0;0;0;0;0;0;0;0
05.2016;1,4;14;4,1;2769;777;-8;3,2;1,2;0,2;-0,1;1,2;0,9;100,1;0,410000;-0,0900;46719,9;52086,4;0;0;0;0;0;0;0;0;0;0
06.2016;1,4;15;4,1;2769;743;-2;4,4;-0,8;0,1;0,4;1,2;0,9;100,7;0,230000;-0,1700;46047,1;51889,2;1,8;2,1;2;1,3;1,5;2,3;1,9;1,9;2,6;1,1
07.2016;0,8;12,9;4,1;2764;775;-5;3,1;0,9;-0,1;0,3;-0,1;-0,5;100,5;0,070000;-0,1900;45355,9;54363,3;0;0;0;0;0;0;0;0;0;0
08.2016;0,8;11;4;2771;751;-6;4,8;0,4;-0,4;-0,1;-0,1;-0,5;100,4;0,040000;-0,2100;46838;52293,2;0;0;0;0;0;0;0;0;0;0
09.2016;0,8;8,7;4,1;2767;724;-6;1,8;-0,6;0;0,0;-0,1;-0,5;100;0,010000;-0,1900;49432,4;52541,4;1,7;2,2;2,1;1,3;1,5;2,3;1,3;1,8;1,6;1,1
10.2016;0,7;14,2;4,1;2775;708;-9;1,2;0;0,3;0,2;-1,3;1,9;102,1;0,130000;-0,2000;50745,9;53356;0;0;0;0;0;0;0;0;0;0
11.2016;0,7;17,4;4,1;2770;679;-8;0,9;0,2;-0,2;-0,2;-1,3;1,9;101,4;0,320000;-0,1800;48294,5;53811,5;0;0;0;0;0;0;0;0;0;0
12.2016;0,7;20,5;4,2;2771;723;-2;-0,3;-1,1;0,1;0,9;-1,3;1,9;101,1;0,390000;-0,2000;49096,1;55984;1,8;2,4;2,2;1,4;1,7;2,4;1,5;1,4;1,6;1,8
01.2017;0,5;16,1;4,2;2763;740;-4;4,5;0,3;-0,1;0,1;2,4;1,0;101,5;0,370000;-0,2300;47914,8;54498,7;0;0;0;0;0;0;0;0;0;0
02.2017;0,5;13,3;4,2;2767;745;-3;4,8;1;0,7;-0,4;2,4;1,0;101,5;0,330000;-0,2300;48704,9;54725,8;0;0;0;0;0;0;0;0;0;0
03.2017;0,5;17,2;4,2;2778;757;0;6,2;2,8;0,1;0,7;2,4;1,0;101,8;0,190000;-0,2500;49721,6;56770,8;1,6;2,1;2,1;1,2;1,6;2,2;1,8;1;1,6;1,8
04.2017;0,5;14,7;4,2;2780;795;1;7,4;1;0,3;0,9;0,2;-0,1;101;0,550000;-0,2600;50054,7;54177,1;0;0;0;0;0;0;0;0;0;0
05.2017;0,5;15,7;4,2;2788;816;-6;5,8;-1;-0,1;0,1;0,2;-0,1;100,7;0,640000;-0,2300;50983,2;55973,7;0;0;0;0;0;0;0;0;0;0
06.2017;0,5;16;4,2;2796;813;3;7,1;1,2;-0,2;0,2;0,2;-0,1;100,6;0,530000;-0,2300;49892,6;55110,8;1,8;2;1,9;1,5;1,3;2,3;1,2;2;1,6;1,7
07.2017;-0,9;10,7;4,3;2798;824;6;10,5;-0,8;1;0,0;0,7;-0,2;101,3;0,670000;-0,2400;51890,7;54825,4;0;0;0;0;0;0;0;0;0;0
08.2017;-0,9;15,6;4,3;2798;839;0;7,6;0,9;-0,4;-0,5;0,7;-0,2;100,9;0,550000;-0,2700;51104;55550,8;0;0;0;0;0;0;0;0;0;0
09.2017;-0,9;8,9;4,2;2802;843;0;7,3;0,8;0,1;0,0;0,7;-0,2;102,2;0,510000;-0,3100;50373,2;56869,7;1,9;2,4;2,5;1,4;1,8;2,3;1,9;1,9;1,8;1,7
10.2017;1;13,8;4,2;2804;864;2;7,1;-0,8;0,1;1,5;0,2;2,5;101,2;0,530000;-0,3100;52179,3;57499;0;0;0;0;0;0;0;0;0;0
11.2017;1;10,2;4,1;2805;827;1;7,6;-0,5;-0,3;0,5;0,2;2,5;102,3;0,440000;-0,3100;51437,8;55004;0;0;0;0;0;0;0;0;0;0
12.2017;1;13,5;4,1;2800;836;3;6,5;-1,3;-0,4;0,3;0,2;2,5;102,4;0,410000;-0,3000;53083;57048,7;1,8;2;2,3;1,5;1,5;2,2;2,4;1,7;1,9;0,9
01.2018;1,1;11,8;4;2807;837;-3;8,2;2,5;-0,3;-0,3;0,9;0,7;101,8;0,570000;-0,3100;54647,2;55285,4;0;0;0;0;0;0;0;0;0;0
02.2018;1,1;15,8;3,9;2809;834;0;8,5;1;0,6;0,4;0,9;0,7;101,3;0,770000;-0,3000;50567,6;57073,5;0;0;0;0;0;0;0;0;0;0
03.2018;1,1;13,2;4;2821;812;-2;8,5;0,3;0;0,6;0,9;0,7;101;0,640000;-0,3000;52873,6;55326,5;2;2,1;2;1,9;1,8;2,4;2;2,1;1,8;0,9
04.2018;0,5;1,2;3,9;2821;818;1;7,1;1,3;0,6;0,9;0,3;1,4;102,2;0,550000;-0,2900;61827;54601,4;0;0;0;0;0;0;0;0;0;0
05.2018;0,5;14,1;3,9;2833;831;4;9,3;0,2;0,2;-0,8;0,3;1,4;103,6;0,520000;-0,2800;53159,5;55616,4;0;0;0;0;0;0;0;0;0;0
06.2018;0,5;10,3;3,8;2837;823;2;10,6;-0,2;-0,1;0,8;0,3;1,4;103,3;0,410000;-0,3000;53906,7;58878,7;2,3;2,5;2,8;2,2;1,9;2,2;3;2,1;1,6;0,9
07.2018;0,5;15,6;3,8;2842;868;3;9,7;-0,5;0,8;0,4;0,5;-0,2;101,8;0,320000;-0,3000;51729,5;58863,1;0;0;0;0;0;0;0;0;0;0
