;BNP Realveakst i forhold til foregaende periode(pct).;Balance1;Balance2;Balance3;Bruttoledig1;Bruttoledig2;Bruttoledig3;AKU1;AKU2;AKU3;Aktieindex1;Aktieindex2;Aktieindex3;konjunkturindikator1;konjunkturindikator2;konjunkturindikator3;Forbrugertillidsindikatoren1;Forbrugertillidsindikatoren2;Forbrugertillidsindikatoren3;huspriser1;huspriser2;huspriser3;inflation1;inflation2;inflation3;produktion1;produktion2;produktion3;Govermentbond1;Govermentbond2;Govermentbond3;Rente1;Rente2;Rente3;Import1;Import2;Import3;Eksport1;Eksport2;Eksport3;Detail1;Detail2;Detail3;offentligforbrug;privatforbrug;TOT Erhverv i alt;2 Industri, rastofindvinding og forsyningsvirksomhed;3 Bygge og anleg;4 Handel og transport mv.;5 Information og kommunikation;6 Finansiering og forsikring;7 Ejendomshandel og udlejning;8 Erhvervsservice;O3 Undervisning og sundhed mv.;10 Kultur, fritid og anden service
K4-2010;-0,2;10,4;12,7;9,3;6,1;6;6,1;2658;2663;2666;369;370;395;-7;-13;-11;0,6;3,6;-0,7;1;-1,7;-0,9;-0,2;0,1;0,1;-0,26509;0,02881;0,9687;2,4556;2,6516;3,012;1,1913;1,2388;1,2117;39224,7;40098,4;39810,6;45588,6;46752,8;45640,9;101,7;101,2;101,4;-0,44121;0,61078;2,2;2,4;2;1,3;3;3,9;2,6;2,4;1,6;3,4
K1-2011;0,2;15;11,6;11,5;6,1;6;6;2659;2659;2658;399;405;395;-4;-5;-6;3,3;-0,5;-0,8;-1,7;1,5;0,7;0,1;0,9;0,6;-0,12857;-0,43883;0,99345;3,0519;3,23;3,289;1,2161;1,2398;1,3074;41090,9;41172,7;41501,3;51633,6;49202,5;50899,4;101,6;101,5;101,3;-0,4494;0,37105;1,9;2,4;0,9;1,5;2,2;4;3,3;1,7;1,3;1,4
K2-2011;1;10,5;8,1;9,6;5,9;6;6;2669;2675;2671;394;390;367;-1;2;-5;2;2,6;3;0,4;0;-1,2;0,5;0,1;-0,2;-0,35827;0,22784;0,28826;3,4156;3,1314;2,9584;1,4083;1,457;1,5136;42212,1;44864,9;42632,9;49906,5;50544,3;49582,7;102,6;101;100,6;0,71848;1,34349;1,8;2,1;0,6;1,9;2,2;4,9;1,8;1;0,9;0,9
K3-2011;-1,2;7,1;9;9;6;6;5,9;2673;2668;2666;357;309;298;-3;-5;-9;-0,6;-2,2;-3,6;-0,3;-2,8;0,1;-0,1;0;0,3;0,5318;0,55998;-0,02426;3,0157;2,4943;2,0709;1,6625;1,6041;1,4366;43875,1;43289,3;42929,8;49607,5;50739,7;48532,1;100,5;100,9;101;-1,43341;0,10033;1,7;2,2;0,4;1,7;2,4;1,9;1,6;1,7;0,9;0,5
K4-2011;0,8;8,9;10,2;10,3;5,9;5,8;5,8;2651;2646;2648;310;323;325;-9;-8;-5;-6,6;-9,2;-9,8;-1,4;-0,6;-1,8;0,2;-0,1;0;0,689;-0,08025;0,55403;2,2324;2,0055;1,8571;1,3974;1,2877;1,0837;42540,2;43073,6;44844,4;49983,5;50057,4;51946,7;100,5;100,3;101,3;-0,43212;0,66621;1,9;2,5;1;2,4;2,4;1,9;1,5;1,9;0,2;-0,3
K1-2012;-0,1;9,1;9;5,2;5,9;6;6,1;2645;2644;2633;344;377;370;-4;1;-7;-7;-4,8;-0,4;1,3;0,1;-0,7;0,4;0,9;0,6;0,61232;0,22919;-0,46697;1,7345;1,8438;1,8868;1,0069;1,0007;0,9878;41549,6;43529,7;42845,1;50407,7;50784,9;48560,5;101,2;100;102,3;1,72144;1,25447;1,8;2,1;1,7;1,8;2,3;1,8;0,3;2,2;1,1;-0,5
K2-2012;0,1;10,9;11,6;12,8;6,2;6,2;6,2;2639;2647;2655;379;357;366;-5;-9;-9;0,6;-0,4;-2,6;1,7;-0,8;0,4;0;0;-0,1;0,75185;0,19199;-0,01958;1,7141;1,3689;1,255;0,9652;0,9009;0,6214;44127,9;45524,5;43964,1;51643,2;52354,2;51832;100;100,5;100,2;0,65773;0,76565;1,5;2;1,3;1,3;1,6;0,8;1;2,3;0,9;0,4
K3-2012;0,1;12,2;10,8;8,5;6,1;6,1;6,1;2646;2640;2641;393;397;402;-4;-8;-9;0,1;0;-2,2;0,5;0,1;-1,1;-0,1;0,4;0,3;0,26241;-0,4778;0,04897;1,1005;1,1487;1,3095;0,4068;0,3124;0,3217;43256;45174,4;43768,9;52002,1;52593,1;49350,8;99,5;99,6;100,8;1,13272;0,09288;1,4;1,6;1,4;1,4;1,4;2,1;0,3;1,3;0,7;0,6
K4-2012;-0,2;10,5;10,9;9,1;6;6;6;2651;2658;2643;395;400;404;-15;-8;-10;-5,5;-1,3;-4,7;0,9;0,1;-1,2;-0,1;-0,1;-0,4;0,212;0,48184;0,35299;1,2922;1,1127;1,07;0,3345;0,3009;0,2771;44724,9;43899,1;46308,8;52037,2;52369,8;51185,5;99,9;99,6;100;1,30414;0,38448;1,4;1,8;0,5;1,2;1,4;2,2;1,1;1,7;0,4;1,1
K1-2013;0,6;12,4;12;10,6;5,9;5,9;5,9;2636;2637;2645;433;443;440;-5;-6;-4;-2,7;-2;-2,1;0,4;1,7;0,6;-0,5;1,1;0,2;-0,13254;0,57439;0,40622;1,61;1,73;1,59;0,3051;0,3285;0,2743;45588,7;44598;45441,5;52390;50413,7;50740;98,7;99,4;98,1;-2,70187;0,35447;1,3;1,5;0,5;1;1,5;2,1;1,1;1,5;0,6;1,3
